IID	value
id_70_5	-2.87682072451781
id_80_5	-1.89599147150608
id_1_6	-5.17827730413206
id_2_6	-1.66042540019332
id_21_6	-4.72069619488488
id_31_6	-2.64125465320504
id_41_6	-4.6029131592285
id_51_6	-3.28228583262597
id_61_6	-1.59475836567595
id_71_6	-1.89599147150608
id_3_6	-2.1180065094405
id_4_6	-3.28228583262597
id_22_6	-4.02754901432493
id_32_6	-2.35357258075326
id_42_6	-1.66042540019332
id_52_6	-0.901611185116004
id_62_6	-2.06589050830148
id_72_6	0.0135510333783533
id_5_6	3.0217058269309
id_6_6	0.588915178281915
id_23_6	2.09299257505819
id_33_6	1.51762843015463
id_43_6	3.42717093503906
id_53_6	-1.49052636339792
id_63_6	-1.49052636339792
id_73_6	-1.37274332774154
id_7_6	-3.28228583262597
id_8_6	-1.6083093990543
id_24_6	0.706698213938298
id_34_6	-0.627480146042577
id_44_6	-1.32062732660252
id_54_6	-1.49052636339792
id_64_6	-1.37274332774154
id_74_6	0.588915178281915
id_9_6	-1.20284429094614
id_10_6	1.85742650374542
id_25_6	-1.72609243471069
id_35_6	0.471132142625532
id_45_6	-2.41923961527063
id_55_6	1.45196139563726
id_65_6	3.07382182806991
id_75_6	3.07382182806991
id_11_6	0.588915178281915
id_12_6	-0.444030075868826
id_26_6	-1.54264236453693
id_36_6	-2.75903768886143
id_46_6	3.83263604314723
id_56_6	-1.37274332774154
id_66_6	0.0135510333783533
id_76_6	-1.25496029208515
id_13_6	1.51762843015463
id_14_6	3.13948886258728
id_27_6	-0.391914074729811
id_37_6	2.04087657391917
id_47_6	1.11216332204646
id_57_6	2.09299257505819
id_67_6	2.90392279127452
id_77_6	0.5367991771429
id_15_6	0.876597250733696
id_16_6	0.183450070173751
id_28_6	2.90392279127452
id_38_6	2.09299257505819
id_48_6	2.09299257505819
id_58_6	1.68752746695002
id_68_6	1.68752746695002
id_78_6	1.28206235884186
id_17_6	2.44634168202734
id_18_6	6.02986062048345
id_29_6	2.21077561071457
id_39_6	-0.679596147181592
id_49_6	2.44634168202734
